ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              087                     110                     111        
Frame 0314    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0315    0001 0000000001000400  00001 0000000000000000  00001 0000000000000000
Frame 0316    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0317    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0318    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0319    0101 0000000003e0f000  00001 0000000000000000  00001 0000000000000000
Frame 0320    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0321    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0322    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0323    0001 0000000000000018  00001 0000000000000000  00001 0000000000000000
Frame 0324    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0325    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0326    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0327    0101 0000000005f18800  00001 0000000000000000  00001 0000000000000000
Frame 0328    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0329    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0330    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0331    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0332    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0333    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0334    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0335    0101 0000000008621400  00001 0000000000000000  00001 0000000000000000
Frame 0336    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0337    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0338    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0339    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0340    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0341    0001 000000007ffee3fe  00000 0000000000000000  00000 0000000000000000
Frame 0342    0000 000000007ffee3fe  01101 0000000000000000  01101 0000000000000000
Frame 0343    0101 0000000004c11400  00001 0000000000000000  00001 0000000000000000
Frame 0344    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0345    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0346    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0347    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0348    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0349    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0350    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0351    0101 0000000005212c00  00001 0000000000000000  00001 0000000000000000
Frame 0352    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
